"","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","square_feet","price","cleaning_fee","minimum_nights","number_of_reviews_ltm","review_scores_rating","review_scores_cleanliness","review_scores_location","review_scores_value","Post_20_reviews"
"63",0,29,"f",3,"t","Brooklyn","Private room",4,1,1,1,657.770212765957,70,0,4,6,83,7,9,8,"0"
"64",75,69,"t",1,"f","Manhattan","Entire home/apt",2,1,1,1,657.770212765957,199,125,7,9,95,9,10,9,"0"
"65",100,96,"t",1,"t","Brooklyn","Entire home/apt",7,2,2,2,657.770212765957,500,120,6,25,99,10,10,10,"0"
"66",100,88,"f",2,"t","Manhattan","Private room",2,1,1,1,657.770212765957,99,20,2,24,86,8,10,9,"0"
"67",100,100,"f",6,"t","Brooklyn","Private room",2,1,1,1,657.770212765957,53,50,3,5,91,9,9,9,"0"
"68",100,98,"t",3,"t","Queens","Entire home/apt",2,1,1,1,657.770212765957,130,45,2,23,98,10,10,9,"0"
"69",100,77,"t",2,"t","Brooklyn","Entire home/apt",5,1,2,2,657.770212765957,225,50,2,11,96,10,10,9,"0"
"70",100,86,"f",6,"t","Brooklyn","Entire home/apt",10,2,3,7,657.770212765957,165,95,2,39,93,9,9,10,"1"
"71",100,78,"f",2,"f","Manhattan","Entire home/apt",4,1,2,3,657.770212765957,85,45,1,7,81,8,10,8,"0"
"72",89.3037155669443,81.0127222784444,"f",1,"t","Manhattan","Entire home/apt",4,2.5,2,2,657.770212765957,500,75.4034656056957,29,0,95,10,10,10,"0"
"73",100,95,"t",0,"t","Brooklyn","Entire home/apt",6,1.5,2,3,657.770212765957,219,150,2,29,99,10,10,10,"0"
"74",0,11,"f",1,"f","Brooklyn","Entire home/apt",3,1,1,2,657.770212765957,115,20,1,0,93,9,9,9,"0"
"75",100,97,"f",6,"t","Manhattan","Shared room",1,1,1,2,657.770212765957,30,40,1,9,92,9,9,9,"0"
"76",89.3037155669443,81.0127222784444,"f",5,"f","Manhattan","Private room",3,0.5,1,2,657.770212765957,179,75.4034656056957,1,0,70,10,8,9,"0"
"77",89.3037155669443,81.0127222784444,"f",5,"f","Manhattan","Private room",5,0.5,1,2,657.770212765957,209,75.4034656056957,1,0,60,6,10,6,"0"
"79",89.3037155669443,81.0127222784444,"f",5,"f","Manhattan","Private room",4,0.5,1,2,657.770212765957,189,75.4034656056957,1,2,90,9,10,9,"0"
"80",100,89,"t",44,"f","Manhattan","Entire home/apt",3,1,0,2,657.770212765957,99,135,30,1,95,8,10,9,"0"
"81",100,55,"f",9,"f","Manhattan","Entire home/apt",2,1,0,1,657.770212765957,105,125,30,1,73,8,9,6,"0"
"82",100,96,"t",14,"f","Brooklyn","Entire home/apt",2,1,0,1,657.770212765957,149,75.4034656056957,3,16,99,10,10,10,"0"
"83",100,94,"t",2,"f","Manhattan","Entire home/apt",5,1,3,3,657.770212765957,299,100,30,2,96,9,10,10,"0"
"84",100,93,"t",7,"t","Brooklyn","Private room",4,1,1,2,657.770212765957,79,50,1,7,97,10,9,10,"0"
"86",100,100,"t",1,"f","Manhattan","Entire home/apt",2,1,1,1,657.770212765957,165,65,1,41,99,10,10,10,"0"
"87",100,96,"t",14,"f","Brooklyn","Entire home/apt",4,1,0,2,657.770212765957,199,0,3,2,98,10,9,10,"0"
"88",100,96,"t",14,"f","Brooklyn","Entire home/apt",4,1,0,1,657.770212765957,299,75.4034656056957,3,0,93,10,10,8,"0"
"89",89.3037155669443,90,"f",3,"f","Queens","Private room",2,2,1,0,657.770212765957,70,20,5,0,90,7,8,7,"0"
"90",89.3037155669443,81.0127222784444,"f",1,"f","Manhattan","Private room",2,1,1,1,657.770212765957,150,80,3,0,95,9,9,9,"0"
